Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
0,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,247.03646101340217,17.24492038299076,circular
1,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,264.28138139639293,17.24492038299076,circular
2,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,281.5263017793837,17.24492038299076,circular
3,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,298.77122216237444,17.24492038299076,circular
4,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,316.0161425453652,17.24492038299076,circular
5,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,333.26106292835595,17.24492038299076,circular
6,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,350.5059833113467,17.24492038299076,circular
7,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,7.750903694337467,17.24492038299076,circular
8,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,24.995824077328226,17.24492038299076,circular
9,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,42.240744460318986,17.24492038299076,circular
10,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,59.48566484330975,17.24492038299076,circular
11,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,76.7305852263005,17.24492038299076,circular
12,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,93.97550560929126,17.24492038299076,circular
13,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,111.22042599228202,17.24492038299076,circular
14,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,128.4653463752728,17.24492038299076,circular
15,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,145.71026675826354,17.24492038299076,circular
16,1100,700,106.22511288757674,-85,-85,21.41811930585211,22.496022074683278,1350,700,162.9551871412543,17.24492038299076,circular
17,1100,700,106.22511288757674,-85,-85,25.157178905256924,25.536951728381826,1350,700,180.20010752424506,17.24492038299076,circular
18,1100,700,106.22511288757674,-85,-85,26.077602459396946,26.067010357935978,1350,700,197.4450279072358,17.24492038299076,circular
19,1100,700,106.22511288757674,-85,-85,25.361807294499556,25.042923900792417,1350,700,214.68994829022657,17.24492038299076,circular
20,1100,700,106.22511288757674,-85,-85,22.170735458799452,20.97742610025735,1350,700,231.93486867321732,17.24492038299076,circular
21,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,249.17978905620808,17.24492038299076,circular
22,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,266.42470943919886,17.24492038299076,circular
23,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,283.6696298221896,17.24492038299076,circular
24,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,300.9145502051804,17.24492038299076,circular
25,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,318.15947058817113,17.24492038299076,circular
26,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,335.4043909711619,17.24492038299076,circular
27,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,352.64931135415264,17.24492038299076,circular
28,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,9.8942317371434,17.24492038299076,circular
29,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,27.13915212013416,17.24492038299076,circular
30,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,44.38407250312492,17.24492038299076,circular
31,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,61.62899288611568,17.24492038299076,circular
32,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,78.87391326910644,17.24492038299076,circular
33,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,96.1188336520972,17.24492038299076,circular
34,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,113.36375403508795,17.24492038299076,circular
35,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,130.60867441807872,17.24492038299076,circular
36,1100,700,106.22511288757674,-85,-85,-85,-85,1350,700,147.85359480106948,17.24492038299076,circular
37,1100,700,106.22511288757674,-85,-85,22.170735458799452,23.06730250275713,1350,700,165.09851518406023,17.24492038299076,circular
