Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
0,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,68.75816305759753,6.373476230251831,circular
1,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,75.13163928784935,6.373476230251831,circular
2,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,81.50511551810118,6.373476230251831,circular
3,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,87.878591748353,6.373476230251831,circular
4,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,94.25206797860483,6.373476230251831,circular
5,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,100.62554420885665,6.373476230251831,circular
6,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,106.99902043910848,6.373476230251831,circular
7,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,113.3724966693603,6.373476230251831,circular
8,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,119.74597289961213,6.373476230251831,circular
9,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,126.11944912986395,6.373476230251831,circular
10,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,132.49292536011578,6.373476230251831,circular
11,1100,700,50.06372600961194,-85,-85,-85,-85,1350,700,138.86640159036762,6.373476230251831,circular
12,1100,700,50.06372600961194,-85,-85,14.513447644213304,18.47430475951294,1350,700,145.23987782061945,6.373476230251831,circular
13,1100,700,50.06372600961194,-85,-85,20.48098321025059,21.813356630230874,1350,700,151.6133540508713,6.373476230251831,circular
14,1100,700,50.06372600961194,-85,-85,23.06730250275713,23.553218972269416,1350,700,157.98683028112313,6.373476230251831,circular
15,1100,700,50.06372600961194,-85,-85,24.33271141113945,24.78833704083229,1350,700,164.36030651137497,6.373476230251831,circular
16,1100,700,50.06372600961194,-85,-85,25.26334459461691,25.452908776355446,1350,700,170.7337827416268,6.373476230251831,circular
17,1100,700,50.06372600961194,-85,-85,25.7492610641292,25.859665714847075,1350,700,177.10725897187865,6.373476230251831,circular
18,1100,700,50.06372600961194,-85,-85,26.011117049096303,26.067010357935978,1350,700,183.4807352021305,6.373476230251831,circular
19,1100,700,50.06372600961194,-85,-85,26.074956048612798,26.053745949214605,1350,700,189.85421143238233,6.373476230251831,circular
20,1100,700,50.06372600961194,-85,-85,25.946643644493044,25.807460623826316,1350,700,196.22768766263417,6.373476230251831,circular
21,1100,700,50.06372600961194,-85,-85,25.614204328866276,25.361807294499556,1350,700,202.601163892886,6.373476230251831,circular
22,1100,700,50.06372600961194,-85,-85,24.92014212493214,24.646943359767004,1350,700,208.97464012313785,6.373476230251831,circular
23,1100,700,50.06372600961194,-85,-85,23.97102224645776,23.319699537123853,1350,700,215.34811635338968,6.373476230251831,circular
24,1100,700,50.06372600961194,-85,-85,22.170735458799452,21.418119305852123,1350,700,221.72159258364152,6.373476230251831,circular
25,1100,700,50.06372600961194,-85,-85,19.25639156218219,17.51315549939211,1350,700,228.09506881389336,6.373476230251831,circular
