Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
0,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,305.29089673336927,7.336254973170151,circular
1,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,312.6271517065394,7.336254973170151,circular
2,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,319.9634066797095,7.336254973170151,circular
3,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,327.29966165287965,7.336254973170151,circular
4,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,334.6359166260498,7.336254973170151,circular
5,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,341.9721715992199,7.336254973170151,circular
6,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,349.30842657239003,7.336254973170151,circular
7,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,356.64468154556016,7.336254973170151,circular
8,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,3.9809365187302888,7.336254973170151,circular
9,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,11.31719149190044,7.336254973170151,circular
10,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,18.65344646507059,7.336254973170151,circular
11,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,25.989701438240743,7.336254973170151,circular
12,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,33.32595641141089,7.336254973170151,circular
13,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,40.66221138458104,7.336254973170151,circular
14,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,47.99846635775119,7.336254973170151,circular
15,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,55.33472133092134,7.336254973170151,circular
16,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,62.67097630409149,7.336254973170151,circular
17,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,70.00723127726164,7.336254973170151,circular
18,1100,700,231.29084491957022,-85,-85,-85,-85,1350,700,77.3434862504318,7.336254973170151,circular
