Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
0,1100,700,136.13852098445645,-85,24.646943359767004,24.92014212493214,-85,1350,700,177.10744469820284,3.6349446805240078,circular
1,1100,700,136.13852098445645,-85,-85,26.067010357935978,-85,1350,700,180.74238937872684,3.6349446805240078,circular
2,1100,700,136.13852098445645,-85,-85,26.077602459396946,-85,1350,700,184.37733405925084,3.6349446805240078,circular
3,1100,700,136.13852098445645,-85,-85,26.035130213615616,-85,1350,700,188.01227873977484,3.6349446805240078,circular
4,1100,700,136.13852098445645,-85,-85,25.906018829630398,-85,1350,700,191.64722342029884,3.6349446805240078,circular
5,1100,700,136.13852098445645,-85,-85,25.7492610641292,-85,1350,700,195.28216810082284,3.6349446805240078,circular
6,1100,700,136.13852098445645,-85,-85,25.452908776355446,-85,1350,700,198.91711278134684,3.6349446805240078,circular
7,1100,700,136.13852098445645,-85,-85,25.157178905256924,-85,1350,700,202.55205746187085,3.6349446805240078,circular
8,1100,700,136.13852098445645,-85,-85,24.646943359767004,-85,1350,700,206.18700214239485,3.6349446805240078,circular
9,1100,700,136.13852098445645,-85,-85,23.97102224645776,-85,1350,700,209.82194682291885,3.6349446805240078,circular
10,1100,700,136.13852098445645,-85,-85,23.319699537123853,-85,1350,700,213.45689150344285,3.6349446805240078,circular
11,1100,700,136.13852098445645,-85,-85,22.170735458799452,-85,1350,700,217.09183618396685,3.6349446805240078,circular
12,1100,700,136.13852098445645,-85,-85,20.48098321025059,-85,1350,700,220.72678086449085,3.6349446805240078,circular
13,1100,700,136.13852098445645,-85,-85,18.474304759512954,-85,1350,700,224.36172554501485,3.6349446805240078,circular
14,1100,700,136.13852098445645,-85,-85,11.50579409835762,-85,1350,700,227.99667022553885,3.6349446805240078,circular
15,1100,700,136.13852098445645,-85,-85,-85,-85,1350,700,231.63161490606285,3.6349446805240078,circular
16,1100,700,136.13852098445645,-85,-85,-85,-85,1350,700,235.26655958658685,3.6349446805240078,circular
17,1100,700,136.13852098445645,-85,-85,-85,-85,1350,700,238.90150426711085,3.6349446805240078,circular
18,1100,700,136.13852098445645,-85,-85,-85,-85,1350,700,242.53644894763485,3.6349446805240078,circular
19,1100,700,136.13852098445645,-85,-85,-85,-85,1350,700,246.17139362815885,3.6349446805240078,circular
20,1100,700,136.13852098445645,-85,-85,-85,-85,1350,700,249.80633830868285,3.6349446805240078,circular
21,1100,700,136.13852098445645,-85,-85,-85,-85,1350,700,253.44128298920685,3.6349446805240078,circular
22,1100,700,136.13852098445645,-85,-85,-85,-85,1350,700,257.0762276697309,3.6349446805240078,circular
23,1100,700,136.13852098445645,-85,-85,-85,-85,1350,700,260.7111723502549,3.6349446805240078,circular
