Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
0,1100,700,220.04167647855235,16.269948115724716,-85,-85,18.474304759512954,1350,700,233.63479217853376,4.938153992912892,circular
1,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,238.57294617144666,4.938153992912892,circular
2,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,243.51110016435956,4.938153992912892,circular
3,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,248.44925415727246,4.938153992912892,circular
4,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,253.38740815018537,4.938153992912892,circular
5,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,258.32556214309824,4.938153992912892,circular
6,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,263.2637161360111,4.938153992912892,circular
7,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,268.201870128924,4.938153992912892,circular
8,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,273.14002412183686,4.938153992912892,circular
9,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,278.07817811474973,4.938153992912892,circular
10,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,283.0163321076626,4.938153992912892,circular
11,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,287.9544861005755,4.938153992912892,circular
12,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,292.89264009348835,4.938153992912892,circular
13,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,297.8307940864012,4.938153992912892,circular
14,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,302.7689480793141,4.938153992912892,circular
15,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,307.707102072227,4.938153992912892,circular
16,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,312.64525606513985,4.938153992912892,circular
17,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,317.5834100580527,4.938153992912892,circular
18,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,322.5215640509656,4.938153992912892,circular
19,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,327.45971804387847,4.938153992912892,circular
20,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,332.39787203679134,4.938153992912892,circular
21,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,337.3360260297042,4.938153992912892,circular
22,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,342.2741800226171,4.938153992912892,circular
23,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,347.21233401552996,4.938153992912892,circular
24,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,352.15048800844284,4.938153992912892,circular
25,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,357.0886420013557,4.938153992912892,circular
26,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,2.026795994268582,4.938153992912892,circular
27,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,6.964949987181474,4.938153992912892,circular
28,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,11.903103980094366,4.938153992912892,circular
29,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,16.84125797300726,4.938153992912892,circular
30,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,21.77941196592015,4.938153992912892,circular
31,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,26.717565958833042,4.938153992912892,circular
32,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,31.655719951745933,4.938153992912892,circular
33,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,36.593873944658824,4.938153992912892,circular
34,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,41.53202793757172,4.938153992912892,circular
35,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,46.470181930484614,4.938153992912892,circular
36,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,51.40833592339751,4.938153992912892,circular
37,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,56.346489916310404,4.938153992912892,circular
38,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,61.2846439092233,4.938153992912892,circular
39,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,66.2227979021362,4.938153992912892,circular
40,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,71.16095189504908,4.938153992912892,circular
41,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,76.09910588796197,4.938153992912892,circular
42,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,81.03725988087486,4.938153992912892,circular
43,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,85.97541387378774,4.938153992912892,circular
44,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,90.91356786670063,4.938153992912892,circular
45,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,95.85172185961352,4.938153992912892,circular
46,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,100.78987585252641,4.938153992912892,circular
47,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,105.7280298454393,4.938153992912892,circular
48,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,110.66618383835218,4.938153992912892,circular
49,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,115.60433783126507,4.938153992912892,circular
50,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,120.54249182417796,4.938153992912892,circular
51,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,125.48064581709085,4.938153992912892,circular
52,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,130.41879981000375,4.938153992912892,circular
53,1100,700,220.04167647855235,-85,-85,-85,-85,1350,700,135.35695380291665,4.938153992912892,circular
54,1100,700,220.04167647855235,-85,11.505794098357505,16.269948115724727,-85,1350,700,140.29510779582955,4.938153992912892,circular
55,1100,700,220.04167647855235,-85,19.25639156218217,20.48098321025059,-85,1350,700,145.23326178874245,4.938153992912892,circular
56,1100,700,220.04167647855235,-85,21.813356630230874,22.496022074683278,-85,1350,700,150.17141578165536,4.938153992912892,circular
57,1100,700,220.04167647855235,-85,23.06730250275713,23.769789312347285,-85,1350,700,155.10956977456826,4.938153992912892,circular
58,1100,700,220.04167647855235,-85,24.1582774269213,24.646943359767004,-85,1350,700,160.04772376748116,4.938153992912892,circular
59,1100,700,220.04167647855235,-85,24.92014212493214,25.26334459461691,-85,1350,700,164.98587776039406,4.938153992912892,circular
60,1100,700,220.04167647855235,-85,25.452908776355446,25.684904084789974,-85,1350,700,169.92403175330696,4.938153992912892,circular
61,1100,700,220.04167647855235,-85,25.80746062382631,25.946643644493044,-85,1350,700,174.86218574621986,4.938153992912892,circular
62,1100,700,220.04167647855235,-85,26.011117049096303,26.067010357935978,-85,1350,700,179.80033973913277,4.938153992912892,circular
63,1100,700,220.04167647855235,-85,26.077602459396946,26.067010357935978,-85,1350,700,184.73849373204567,4.938153992912892,circular
64,1100,700,220.04167647855235,-85,26.035130213615616,25.946643644493044,-85,1350,700,189.67664772495857,4.938153992912892,circular
65,1100,700,220.04167647855235,-85,25.859665714847075,25.7492610641292,-85,1350,700,194.61480171787147,4.938153992912892,circular
66,1100,700,220.04167647855235,-85,25.536951728381826,25.361807294499556,-85,1350,700,199.55295571078437,4.938153992912892,circular
67,1100,700,220.04167647855235,-85,25.042923900792417,24.788337040832293,-85,1350,700,204.49110970369728,4.938153992912892,circular
