Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
0,1100,700,178.31779074020673,-85,-85,23.067302502757133,22.170735458799452,1350,700,216.18868985324255,12.905448125986428,circular
1,1100,700,178.31779074020673,-85,21.81335663023087,20.48098321025059,-85,1350,700,229.09413797922898,12.905448125986428,circular
2,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,241.9995861052154,12.905448125986428,circular
3,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,254.90503423120182,12.905448125986428,circular
4,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,267.8104823571883,12.905448125986428,circular
5,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,280.7159304831747,12.905448125986428,circular
6,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,293.6213786091611,12.905448125986428,circular
7,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,306.52682673514755,12.905448125986428,circular
8,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,319.432274861134,12.905448125986428,circular
9,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,332.3377229871204,12.905448125986428,circular
10,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,345.2431711131068,12.905448125986428,circular
11,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,358.14861923909325,12.905448125986428,circular
12,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,11.054067365079675,12.905448125986428,circular
13,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,23.959515491066103,12.905448125986428,circular
14,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,36.86496361705253,12.905448125986428,circular
15,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,49.77041174303896,12.905448125986428,circular
16,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,62.67585986902539,12.905448125986428,circular
17,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,75.58130799501181,12.905448125986428,circular
18,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,88.48675612099824,12.905448125986428,circular
19,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,101.39220424698466,12.905448125986428,circular
20,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,114.29765237297109,12.905448125986428,circular
21,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,127.20310049895751,12.905448125986428,circular
22,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,140.10854862494395,12.905448125986428,circular
23,1100,700,178.31779074020673,-85,17.513155499392102,19.91435422725632,-85,1350,700,153.01399675093037,12.905448125986428,circular
24,1100,700,178.31779074020673,-85,23.553218972269416,24.1582774269213,-85,1350,700,165.9194448769168,12.905448125986428,circular
25,1100,700,178.31779074020673,-85,25.452908776355446,25.684904084789974,-85,1350,700,178.82489300290322,12.905448125986428,circular
26,1100,700,178.31779074020673,-85,26.067010357935978,26.077602459396946,-85,1350,700,191.73034112888965,12.905448125986428,circular
27,1100,700,178.31779074020673,-85,25.807460623826316,25.614204328866276,-85,1350,700,204.63578925487607,12.905448125986428,circular
28,1100,700,178.31779074020673,-85,24.646943359767004,23.97102224645776,-85,1350,700,217.5412373808625,12.905448125986428,circular
29,1100,700,178.31779074020673,-85,21.418119305852123,19.25639156218219,-85,1350,700,230.44668550684892,12.905448125986428,circular
30,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,243.35213363283535,12.905448125986428,circular
31,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,256.2575817588218,12.905448125986428,circular
32,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,269.1630298848082,12.905448125986428,circular
33,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,282.06847801079465,12.905448125986428,circular
34,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,294.9739261367811,12.905448125986428,circular
35,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,307.8793742627675,12.905448125986428,circular
36,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,320.7848223887539,12.905448125986428,circular
37,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,333.69027051474035,12.905448125986428,circular
38,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,346.5957186407268,12.905448125986428,circular
39,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,359.5011667667132,12.905448125986428,circular
40,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,12.406614892699622,12.905448125986428,circular
41,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,25.31206301868605,12.905448125986428,circular
42,1100,700,178.31779074020673,-85,-85,-85,-85,1350,700,38.21751114467248,12.905448125986428,circular
