Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
0,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,3.493816153142461,19.153814772323596,circular
1,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,22.647630925466057,19.153814772323596,circular
2,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,41.80144569778965,19.153814772323596,circular
3,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,60.955260470113245,19.153814772323596,circular
4,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,80.10907524243684,19.153814772323596,circular
5,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,99.26289001476044,19.153814772323596,circular
6,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,118.41670478708404,19.153814772323596,circular
7,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,137.57051955940764,19.153814772323596,circular
8,1100,700,358.96495355904955,18.47430475951294,-85,-85,11.505794098357505,1350,700,156.72433433173123,19.153814772323596,circular
9,1100,700,358.96495355904955,24.78833704083229,-85,-85,24.33271141113945,1350,700,175.8781491040548,19.153814772323596,circular
10,1100,700,358.96495355904955,26.067010357935978,-85,-85,26.011117049096303,1350,700,195.0319638763784,19.153814772323596,circular
11,1100,700,358.96495355904955,25.361807294499556,-85,-85,25.614204328866276,1350,700,214.18577864870198,19.153814772323596,circular
12,1100,700,358.96495355904955,21.418119305852123,-85,-85,22.496022074683278,1350,700,233.33959342102557,19.153814772323596,circular
13,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,252.49340819334915,19.153814772323596,circular
14,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,271.64722296567277,19.153814772323596,circular
15,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,290.80103773799635,19.153814772323596,circular
16,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,309.95485251031994,19.153814772323596,circular
17,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,329.1086672826435,19.153814772323596,circular
18,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,348.2624820549671,19.153814772323596,circular
19,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,7.416296827290694,19.153814772323596,circular
20,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,26.57011159961429,19.153814772323596,circular
21,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,45.723926371937885,19.153814772323596,circular
22,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,64.87774114426148,19.153814772323596,circular
23,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,84.03155591658508,19.153814772323596,circular
24,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,103.18537068890868,19.153814772323596,circular
25,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,122.33918546123228,19.153814772323596,circular
26,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,141.49300023355588,19.153814772323596,circular
27,1100,700,358.96495355904955,20.97742610025734,-85,-85,18.47430475951294,1350,700,160.64681500587946,19.153814772323596,circular
28,1100,700,358.96495355904955,25.26334459461691,-85,-85,24.78833704083229,1350,700,179.80062977820305,19.153814772323596,circular
29,1100,700,358.96495355904955,26.074956048612798,-85,-85,26.074956048612798,1350,700,198.95444455052663,19.153814772323596,circular
30,1100,700,358.96495355904955,24.92014212493214,-85,-85,25.263344594616918,1350,700,218.10825932285022,19.153814772323596,circular
31,1100,700,358.96495355904955,19.25639156218219,-85,-85,20.97742610025735,1350,700,237.2620740951738,19.153814772323596,circular
32,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,256.4158888674974,19.153814772323596,circular
33,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,275.569703639821,19.153814772323596,circular
34,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,294.7235184121446,19.153814772323596,circular
35,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,313.87733318446817,19.153814772323596,circular
36,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,333.03114795679176,19.153814772323596,circular
37,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,352.18496272911534,19.153814772323596,circular
38,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,11.338777501438926,19.153814772323596,circular
39,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,30.492592273762522,19.153814772323596,circular
40,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,49.64640704608612,19.153814772323596,circular
41,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,68.80022181840971,19.153814772323596,circular
42,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,87.95403659073331,19.153814772323596,circular
43,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,107.10785136305691,19.153814772323596,circular
44,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,126.26166613538051,19.153814772323596,circular
45,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,145.4154809077041,19.153814772323596,circular
46,1100,700,358.96495355904955,22.496022074683278,-85,-85,20.97742610025734,1350,700,164.5692956800277,19.153814772323596,circular
47,1100,700,358.96495355904955,25.614204328866276,-85,-85,25.26334459461691,1350,700,183.72311045235128,19.153814772323596,circular
48,1100,700,358.96495355904955,26.011117049096303,-85,-85,26.067010357935978,1350,700,202.87692522467486,19.153814772323596,circular
49,1100,700,358.96495355904955,24.332711411139446,-85,-85,24.788337040832293,1350,700,222.03073999699845,19.153814772323596,circular
50,1100,700,358.96495355904955,14.513447644213265,-85,-85,18.474304759512954,1350,700,241.18455476932203,19.153814772323596,circular
51,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,260.33836954164565,19.153814772323596,circular
52,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,279.49218431396923,19.153814772323596,circular
53,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,298.6459990862928,19.153814772323596,circular
54,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,317.7998138586164,19.153814772323596,circular
55,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,336.95362863094,19.153814772323596,circular
56,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,356.1074434032636,19.153814772323596,circular
57,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,15.261258175587159,19.153814772323596,circular
58,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,34.41507294791076,19.153814772323596,circular
59,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,53.56888772023436,19.153814772323596,circular
60,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,72.72270249255796,19.153814772323596,circular
61,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,91.87651726488156,19.153814772323596,circular
62,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,111.03033203720516,19.153814772323596,circular
63,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,130.18414680952876,19.153814772323596,circular
64,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,149.33796158185234,19.153814772323596,circular
65,1100,700,358.96495355904955,23.31969953712386,-85,-85,22.496022074683278,1350,700,168.49177635417593,19.153814772323596,circular
66,1100,700,358.96495355904955,25.859665714847075,-85,-85,25.614204328866276,1350,700,187.6455911264995,19.153814772323596,circular
67,1100,700,358.96495355904955,25.859665714847075,-85,-85,26.011117049096303,1350,700,206.7994058988231,19.153814772323596,circular
68,1100,700,358.96495355904955,23.553218972269416,-85,-85,24.1582774269213,1350,700,225.95322067114668,19.153814772323596,circular
69,1100,700,358.96495355904955,-85,-85,-85,11.50579409835762,1350,700,245.10703544347027,19.153814772323596,circular
70,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,264.2608502157939,19.153814772323596,circular
71,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,283.41466498811747,19.153814772323596,circular
72,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,302.56847976044105,19.153814772323596,circular
73,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,321.72229453276464,19.153814772323596,circular
74,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,340.8761093050882,19.153814772323596,circular
75,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,0.029924077411806138,19.153814772323596,circular
76,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,19.183738849735402,19.153814772323596,circular
77,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,38.337553622059,19.153814772323596,circular
78,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,57.49136839438259,19.153814772323596,circular
79,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,76.64518316670619,19.153814772323596,circular
80,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,95.79899793902979,19.153814772323596,circular
81,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,114.95281271135339,19.153814772323596,circular
82,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,134.106627483677,19.153814772323596,circular
83,1100,700,358.96495355904955,11.505794098357505,-85,-85,-85,1350,700,153.26044225600057,19.153814772323596,circular
84,1100,700,358.96495355904955,24.1582774269213,-85,-85,23.553218972269416,1350,700,172.41425702832416,19.153814772323596,circular
85,1100,700,358.96495355904955,26.011117049096303,-85,-85,25.859665714847075,1350,700,191.56807180064774,19.153814772323596,circular
86,1100,700,358.96495355904955,25.614204328866276,-85,-85,25.859665714847075,1350,700,210.72188657297133,19.153814772323596,circular
87,1100,700,358.96495355904955,22.496022074683278,-85,-85,23.319699537123853,1350,700,229.8757013452949,19.153814772323596,circular
88,1100,700,358.96495355904955,-85,-85,-85,-85,1350,700,249.0295161176185,19.153814772323596,circular
