Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
0,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,78.08609231978305,5.297517157542047,circular
1,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,83.3836094773251,5.297517157542047,circular
2,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,88.68112663486714,5.297517157542047,circular
3,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,93.97864379240919,5.297517157542047,circular
4,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,99.27616094995123,5.297517157542047,circular
5,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,104.57367810749328,5.297517157542047,circular
6,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,109.87119526503533,5.297517157542047,circular
7,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,115.16871242257737,5.297517157542047,circular
8,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,120.46622958011942,5.297517157542047,circular
9,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,125.76374673766146,5.297517157542047,circular
10,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,131.06126389520352,5.297517157542047,circular
11,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,136.35878105274557,5.297517157542047,circular
12,1100,700,70.3357961842323,-85,-85,-85,16.269948115724727,1350,700,141.65629821028762,5.297517157542047,circular
13,1100,700,70.3357961842323,-85,-85,18.47430475951294,20.48098321025059,1350,700,146.95381536782966,5.297517157542047,circular
14,1100,700,70.3357961842323,-85,-85,21.41811930585211,22.496022074683278,1350,700,152.2513325253717,5.297517157542047,circular
15,1100,700,70.3357961842323,-85,-85,23.31969953712386,23.971022246457757,1350,700,157.54884968291375,5.297517157542047,circular
16,1100,700,70.3357961842323,-85,-85,24.33271141113945,24.78833704083229,1350,700,162.8463668404558,5.297517157542047,circular
17,1100,700,70.3357961842323,-85,-85,25.042923900792417,25.36180729449956,1350,700,168.14388399799785,5.297517157542047,circular
18,1100,700,70.3357961842323,-85,-85,25.614204328866276,25.80746062382631,1350,700,173.4414011555399,5.297517157542047,circular
19,1100,700,70.3357961842323,-85,-85,25.906018829630398,26.011117049096303,1350,700,178.73891831308194,5.297517157542047,circular
20,1100,700,70.3357961842323,-85,-85,26.053745949214605,26.077602459396946,1350,700,184.03643547062399,5.297517157542047,circular
21,1100,700,70.3357961842323,-85,-85,26.074956048612798,26.011117049096303,1350,700,189.33395262816603,5.297517157542047,circular
22,1100,700,70.3357961842323,-85,-85,25.946643644493044,25.807460623826316,1350,700,194.63146978570808,5.297517157542047,circular
23,1100,700,70.3357961842323,-85,-85,25.684904084789977,25.452908776355446,1350,700,199.92898694325012,5.297517157542047,circular
24,1100,700,70.3357961842323,-85,-85,25.263344594616918,24.92014212493214,1350,700,205.22650410079217,5.297517157542047,circular
25,1100,700,70.3357961842323,-85,-85,24.495315191602927,23.97102224645776,1350,700,210.52402125833422,5.297517157542047,circular
26,1100,700,70.3357961842323,-85,-85,23.553218972269416,22.793695368992225,1350,700,215.82153841587626,5.297517157542047,circular
27,1100,700,70.3357961842323,-85,-85,22.170735458799452,20.97742610025735,1350,700,221.1190555734183,5.297517157542047,circular
28,1100,700,70.3357961842323,-85,-85,19.25639156218219,16.269948115724716,1350,700,226.41657273096035,5.297517157542047,circular
29,1100,700,70.3357961842323,-85,-85,11.50579409835762,-85,1350,700,231.7140898885024,5.297517157542047,circular
30,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,237.01160704604445,5.297517157542047,circular
31,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,242.3091242035865,5.297517157542047,circular
32,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,247.60664136112854,5.297517157542047,circular
33,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,252.90415851867058,5.297517157542047,circular
34,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,258.20167567621263,5.297517157542047,circular
35,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,263.4991928337547,5.297517157542047,circular
36,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,268.7967099912968,5.297517157542047,circular
37,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,274.09422714883885,5.297517157542047,circular
38,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,279.39174430638093,5.297517157542047,circular
39,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,284.689261463923,5.297517157542047,circular
40,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,289.9867786214651,5.297517157542047,circular
41,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,295.28429577900715,5.297517157542047,circular
42,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,300.5818129365492,5.297517157542047,circular
43,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,305.8793300940913,5.297517157542047,circular
44,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,311.1768472516334,5.297517157542047,circular
45,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,316.47436440917545,5.297517157542047,circular
46,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,321.7718815667175,5.297517157542047,circular
47,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,327.0693987242596,5.297517157542047,circular
48,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,332.3669158818017,5.297517157542047,circular
49,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,337.66443303934375,5.297517157542047,circular
50,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,342.9619501968858,5.297517157542047,circular
51,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,348.2594673544279,5.297517157542047,circular
52,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,353.55698451197,5.297517157542047,circular
53,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,358.85450166951205,5.297517157542047,circular
54,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,4.152018827054121,5.297517157542047,circular
55,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,9.449535984596167,5.297517157542047,circular
56,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,14.747053142138213,5.297517157542047,circular
57,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,20.04457029968026,5.297517157542047,circular
58,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,25.342087457222306,5.297517157542047,circular
59,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,30.63960461476435,5.297517157542047,circular
60,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,35.9371217723064,5.297517157542047,circular
61,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,41.234638929848444,5.297517157542047,circular
62,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,46.53215608739049,5.297517157542047,circular
63,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,51.829673244932536,5.297517157542047,circular
64,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,57.12719040247458,5.297517157542047,circular
65,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,62.42470756001663,5.297517157542047,circular
66,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,67.72222471755867,5.297517157542047,circular
67,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,73.01974187510072,5.297517157542047,circular
68,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,78.31725903264277,5.297517157542047,circular
69,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,83.61477619018481,5.297517157542047,circular
70,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,88.91229334772686,5.297517157542047,circular
71,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,94.2098105052689,5.297517157542047,circular
72,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,99.50732766281095,5.297517157542047,circular
73,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,104.804844820353,5.297517157542047,circular
74,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,110.10236197789504,5.297517157542047,circular
75,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,115.39987913543709,5.297517157542047,circular
76,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,120.69739629297914,5.297517157542047,circular
77,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,125.99491345052118,5.297517157542047,circular
78,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,131.29243060806323,5.297517157542047,circular
79,1100,700,70.3357961842323,-85,-85,-85,-85,1350,700,136.58994776560527,5.297517157542047,circular
80,1100,700,70.3357961842323,-85,-85,-85,16.269948115724727,1350,700,141.88746492314732,5.297517157542047,circular
81,1100,700,70.3357961842323,-85,-85,18.47430475951294,20.48098321025059,1350,700,147.18498208068937,5.297517157542047,circular
82,1100,700,70.3357961842323,-85,-85,21.813356630230874,22.793695368992218,1350,700,152.4824992382314,5.297517157542047,circular
83,1100,700,70.3357961842323,-85,-85,23.31969953712386,23.971022246457757,1350,700,157.78001639577346,5.297517157542047,circular
84,1100,700,70.3357961842323,-85,-85,24.33271141113945,24.78833704083229,1350,700,163.0775335533155,5.297517157542047,circular
85,1100,700,70.3357961842323,-85,-85,25.042923900792417,25.452908776355446,1350,700,168.37505071085755,5.297517157542047,circular
86,1100,700,70.3357961842323,-85,-85,25.614204328866276,25.80746062382631,1350,700,173.6725678683996,5.297517157542047,circular
87,1100,700,70.3357961842323,-85,-85,25.906018829630398,26.011117049096303,1350,700,178.97008502594164,5.297517157542047,circular
88,1100,700,70.3357961842323,-85,-85,26.053745949214605,26.077602459396946,1350,700,184.2676021834837,5.297517157542047,circular
