+,55, True, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
+,56, True, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
+,57, True, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
+,58, True, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
+,59, True, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
+,60, True, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
+,61, True, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
+,62, True, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
+,63, True, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
+,64, True, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
+,65, True, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
-,66, False, -1, 1, 0, 50, 50, 50, 20, 2500, 2500, 2500, 200,150, 150, 150, 50
+,115, True, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
+,116, True, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
+,117, True, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
+,118, True, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
+,119, True, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
+,120, True, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
+,121, True, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
+,122, True, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
+,123, True, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
+,124, True, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
+,125, True, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
-,126, False, -1, 2, 1, 80, 80, 80, 20, 1000, 1000, 1000, 500,100, 100, 100, 25
