Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
77,1100,700,23.67160889820817,26.077602459396946,-85,-85,26.067010357935978,1350,700,180.83204254088346,2.5318904207448183,circular
220,1100,700,23.67160889820817,26.067010357935978,-85,-85,26.077602459396946,1350,700,182.89237270739335,2.5318904207448183,circular
362,1100,700,23.67160889820817,26.067010357935978,-85,-85,26.077602459396946,1350,700,182.42081245315842,2.5318904207448183,circular
504,1100,700,23.67160889820817,26.074956048612798,-85,-85,26.074956048612798,1350,700,181.94925219892346,2.5318904207448183,circular
646,1100,700,23.67160889820817,26.074956048612798,-85,-85,26.074956048612798,1350,700,181.47769194468853,2.5318904207448183,circular
788,1100,700,23.67160889820817,26.077602459396946,-85,-85,26.067010357935978,1350,700,181.0061316904536,2.5318904207448183,circular
930,1100,700,23.67160889820817,26.077602459396946,-85,-85,26.067010357935978,1350,700,180.53457143621867,2.5318904207448183,circular
