Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
40,1100,700,280.66574295478756,26.035130213615616,26.074956048612798,-85,-85,1350,700,185.35435733453653,8.325227775304535,circular
84,1100,700,280.66574295478756,26.067010357935978,26.011117049096303,-85,-85,1350,700,191.66437944793626,8.325227775304535,circular
127,1100,700,280.66574295478756,26.077602459396946,26.053745949214605,-85,-85,1350,700,189.64917378603144,8.325227775304535,circular
170,1100,700,280.66574295478756,26.067010357935978,26.074956048612798,-85,-85,1350,700,187.63396812412662,8.325227775304535,circular
213,1100,700,280.66574295478756,26.035130213615616,26.077602459396946,-85,-85,1350,700,185.6187624622218,8.325227775304535,circular
257,1100,700,280.66574295478756,26.067010357935978,26.011117049096303,-85,-85,1350,700,191.92878457562153,8.325227775304535,circular
300,1100,700,280.66574295478756,26.077602459396946,26.053745949214605,-85,-85,1350,700,189.91357891371672,8.325227775304535,circular
343,1100,700,280.66574295478756,26.074956048612798,26.074956048612798,-85,-85,1350,700,187.8983732518119,8.325227775304535,circular
386,1100,700,280.66574295478756,26.053745949214605,26.077602459396946,-85,-85,1350,700,185.8831675899071,8.325227775304535,circular
429,1100,700,280.66574295478756,26.011117049096303,26.067010357935978,-85,-85,1350,700,183.86796192800227,8.325227775304535,circular
473,1100,700,280.66574295478756,26.077602459396946,26.053745949214605,-85,-85,1350,700,190.177984041402,8.325227775304535,circular
516,1100,700,280.66574295478756,26.074956048612798,26.074956048612798,-85,-85,1350,700,188.16277837949718,8.325227775304535,circular
559,1100,700,280.66574295478756,26.053745949214605,26.077602459396946,-85,-85,1350,700,186.14757271759237,8.325227775304535,circular
602,1100,700,280.66574295478756,26.011117049096303,26.067010357935978,-85,-85,1350,700,184.13236705568755,8.325227775304535,circular
646,1100,700,280.66574295478756,26.077602459396946,26.035130213615616,-85,-85,1350,700,190.44238916908728,8.325227775304535,circular
689,1100,700,280.66574295478756,26.074956048612798,26.067010357935978,-85,-85,1350,700,188.42718350718246,8.325227775304535,circular
732,1100,700,280.66574295478756,26.053745949214605,26.077602459396946,-85,-85,1350,700,186.41197784527765,8.325227775304535,circular
775,1100,700,280.66574295478756,26.011117049096303,26.074956048612798,-85,-85,1350,700,184.39677218337283,8.325227775304535,circular
819,1100,700,280.66574295478756,26.074956048612798,26.035130213615616,-85,-85,1350,700,190.70679429677256,8.325227775304535,circular
862,1100,700,280.66574295478756,26.077602459396946,26.067010357935978,-85,-85,1350,700,188.69158863486774,8.325227775304535,circular
905,1100,700,280.66574295478756,26.067010357935978,26.077602459396946,-85,-85,1350,700,186.67638297296293,8.325227775304535,circular
948,1100,700,280.66574295478756,26.011117049096303,26.074956048612798,-85,-85,1350,700,184.6611773110581,8.325227775304535,circular
992,1100,700,280.66574295478756,26.074956048612798,26.035130213615616,-85,-85,1350,700,190.97119942445784,8.325227775304535,circular
