Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
6,1100,700,224.35793570612782,-85,26.074956048612798,-85,-85,1350,700,188.990562317315,10.856459244082313,circular
39,1100,700,224.35793570612782,-85,26.053745949214605,-85,-85,1350,700,187.2537173720314,10.856459244082313,circular
72,1100,700,224.35793570612782,-85,26.011117049096303,-85,-85,1350,700,185.51687242674777,10.856459244082313,circular
106,1100,700,224.35793570612782,-85,26.053745949214605,-85,-85,1350,700,194.63648672554646,10.856459244082313,circular
139,1100,700,224.35793570612782,-85,26.067010357935978,-85,-85,1350,700,192.89964178026284,10.856459244082313,circular
172,1100,700,224.35793570612782,-85,26.077602459396946,-85,-85,1350,700,191.16279683497922,10.856459244082313,circular
205,1100,700,224.35793570612782,-85,26.074956048612798,-85,-85,1350,700,189.4259518896956,10.856459244082313,circular
238,1100,700,224.35793570612782,-85,26.053745949214605,-85,-85,1350,700,187.68910694441198,10.856459244082313,circular
271,1100,700,224.35793570612782,-85,26.035130213615616,-85,-85,1350,700,185.95226199912835,10.856459244082313,circular
305,1100,700,224.35793570612782,-85,26.035130213615616,-85,-85,1350,700,195.07187629792705,10.856459244082313,circular
338,1100,700,224.35793570612782,-85,26.067010357935978,-85,-85,1350,700,193.33503135264343,10.856459244082313,circular
371,1100,700,224.35793570612782,-85,26.077602459396946,-85,-85,1350,700,191.5981864073598,10.856459244082313,circular
404,1100,700,224.35793570612782,-85,26.074956048612798,-85,-85,1350,700,189.86134146207618,10.856459244082313,circular
437,1100,700,224.35793570612782,-85,26.067010357935978,-85,-85,1350,700,188.12449651679256,10.856459244082313,circular
470,1100,700,224.35793570612782,-85,26.035130213615616,-85,-85,1350,700,186.38765157150894,10.856459244082313,circular
504,1100,700,224.35793570612782,-85,26.035130213615616,-85,-85,1350,700,195.50726587030763,10.856459244082313,circular
537,1100,700,224.35793570612782,-85,26.067010357935978,-85,-85,1350,700,193.770420925024,10.856459244082313,circular
570,1100,700,224.35793570612782,-85,26.074956048612798,-85,-85,1350,700,192.0335759797404,10.856459244082313,circular
603,1100,700,224.35793570612782,-85,26.077602459396946,-85,-85,1350,700,190.29673103445677,10.856459244082313,circular
636,1100,700,224.35793570612782,-85,26.067010357935978,-85,-85,1350,700,188.55988608917315,10.856459244082313,circular
669,1100,700,224.35793570612782,-85,26.035130213615616,-85,-85,1350,700,186.82304114388953,10.856459244082313,circular
702,1100,700,224.35793570612782,-85,26.011117049096303,-85,-85,1350,700,185.0861961986059,10.856459244082313,circular
736,1100,700,224.35793570612782,-85,26.053745949214605,-85,-85,1350,700,194.2058104974046,10.856459244082313,circular
769,1100,700,224.35793570612782,-85,26.074956048612798,-85,-85,1350,700,192.46896555212098,10.856459244082313,circular
802,1100,700,224.35793570612782,-85,26.077602459396946,-85,-85,1350,700,190.73212060683736,10.856459244082313,circular
835,1100,700,224.35793570612782,-85,26.074956048612798,-85,-85,1350,700,188.99527566155373,10.856459244082313,circular
868,1100,700,224.35793570612782,-85,26.053745949214605,-85,-85,1350,700,187.2584307162701,10.856459244082313,circular
901,1100,700,224.35793570612782,-85,26.011117049096303,-85,-85,1350,700,185.5215857709865,10.856459244082313,circular
935,1100,700,224.35793570612782,-85,26.053745949214605,-85,-85,1350,700,194.64120006978519,10.856459244082313,circular
968,1100,700,224.35793570612782,-85,26.067010357935978,-85,-85,1350,700,192.90435512450156,10.856459244082313,circular
