Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
4,1100,700,188.69211372790664,-85,26.067010357935978,25.9816463993744,-85,1350,700,202.83129631604146,18.534211840871265,circular
23,1100,700,188.69211372790664,-85,26.035130213615616,26.074956048612798,-85,1350,700,194.98132129259534,18.534211840871265,circular
43,1100,700,188.69211372790664,-85,26.011117049096303,25.859665714847075,-85,1350,700,205.66555811002047,18.534211840871265,circular
62,1100,700,188.69211372790664,-85,26.067010357935978,26.074956048612798,-85,1350,700,197.81558308657435,18.534211840871265,circular
81,1100,700,188.69211372790664,-85,25.859665714847075,25.9816463993744,-85,1350,700,189.96560806312823,18.534211840871265,circular
101,1100,700,188.69211372790664,-85,26.077602459396946,26.035130213615616,-85,1350,700,200.64984488055336,18.534211840871265,circular
120,1100,700,188.69211372790664,-85,25.946643644493044,26.053745949214605,-85,1350,700,192.79986985710724,18.534211840871265,circular
140,1100,700,188.69211372790664,-85,26.053745949214605,25.9816463993744,-85,1350,700,203.48410667453237,18.534211840871265,circular
159,1100,700,188.69211372790664,-85,26.035130213615616,26.074956048612798,-85,1350,700,195.63413165108625,18.534211840871265,circular
179,1100,700,188.69211372790664,-85,25.9816463993744,25.859665714847075,-85,1350,700,206.31836846851138,18.534211840871265,circular
198,1100,700,188.69211372790664,-85,26.074956048612798,26.074956048612798,-85,1350,700,198.46839344506526,18.534211840871265,circular
217,1100,700,188.69211372790664,-85,25.859665714847075,25.9816463993744,-85,1350,700,190.61841842161914,18.534211840871265,circular
237,1100,700,188.69211372790664,-85,26.074956048612798,26.035130213615616,-85,1350,700,201.30265523904427,18.534211840871265,circular
256,1100,700,188.69211372790664,-85,25.9816463993744,26.053745949214605,-85,1350,700,193.45268021559815,18.534211840871265,circular
276,1100,700,188.69211372790664,-85,26.035130213615616,25.946643644493044,-85,1350,700,204.13691703302328,18.534211840871265,circular
295,1100,700,188.69211372790664,-85,26.053745949214605,26.077602459396946,-85,1350,700,196.28694200957716,18.534211840871265,circular
315,1100,700,188.69211372790664,-85,25.946643644493044,25.807460623826316,-85,1350,700,206.9711788270023,18.534211840871265,circular
334,1100,700,188.69211372790664,-85,26.077602459396946,26.067010357935978,-85,1350,700,199.12120380355617,18.534211840871265,circular
353,1100,700,188.69211372790664,-85,25.906018829630398,26.011117049096303,-85,1350,700,191.27122878011005,18.534211840871265,circular
373,1100,700,188.69211372790664,-85,26.067010357935978,26.011117049096303,-85,1350,700,201.95546559753518,18.534211840871265,circular
392,1100,700,188.69211372790664,-85,26.011117049096303,26.067010357935978,-85,1350,700,194.10549057408906,18.534211840871265,circular
412,1100,700,188.69211372790664,-85,26.035130213615616,25.906018829630398,-85,1350,700,204.7897273915142,18.534211840871265,circular
431,1100,700,188.69211372790664,-85,26.067010357935978,26.077602459396946,-85,1350,700,196.93975236806807,18.534211840871265,circular
451,1100,700,188.69211372790664,-85,25.946643644493044,25.807460623826316,-85,1350,700,207.6239891854932,18.534211840871265,circular
470,1100,700,188.69211372790664,-85,26.077602459396946,26.053745949214605,-85,1350,700,199.77401416204708,18.534211840871265,circular
489,1100,700,188.69211372790664,-85,25.906018829630398,26.035130213615616,-85,1350,700,191.92403913860096,18.534211840871265,circular
509,1100,700,188.69211372790664,-85,26.067010357935978,26.011117049096303,-85,1350,700,202.6082759560261,18.534211840871265,circular
528,1100,700,188.69211372790664,-85,26.011117049096303,26.074956048612798,-85,1350,700,194.75830093257997,18.534211840871265,circular
548,1100,700,188.69211372790664,-85,26.011117049096303,25.906018829630398,-85,1350,700,205.4425377500051,18.534211840871265,circular
567,1100,700,188.69211372790664,-85,26.067010357935978,26.077602459396946,-85,1350,700,197.59256272655898,18.534211840871265,circular
586,1100,700,188.69211372790664,-85,25.80746062382631,25.9816463993744,-85,1350,700,189.74258770311286,18.534211840871265,circular
606,1100,700,188.69211372790664,-85,26.077602459396946,26.053745949214605,-85,1350,700,200.426824520538,18.534211840871265,circular
625,1100,700,188.69211372790664,-85,25.946643644493044,26.035130213615616,-85,1350,700,192.57684949709187,18.534211840871265,circular
645,1100,700,188.69211372790664,-85,26.053745949214605,25.9816463993744,-85,1350,700,203.261086314517,18.534211840871265,circular
664,1100,700,188.69211372790664,-85,26.035130213615616,26.074956048612798,-85,1350,700,195.41111129107088,18.534211840871265,circular
684,1100,700,188.69211372790664,-85,25.9816463993744,25.859665714847075,-85,1350,700,206.095348108496,18.534211840871265,circular
703,1100,700,188.69211372790664,-85,26.074956048612798,26.074956048612798,-85,1350,700,198.2453730850499,18.534211840871265,circular
722,1100,700,188.69211372790664,-85,25.859665714847075,25.9816463993744,-85,1350,700,190.39539806160377,18.534211840871265,circular
742,1100,700,188.69211372790664,-85,26.074956048612798,26.035130213615616,-85,1350,700,201.0796348790289,18.534211840871265,circular
761,1100,700,188.69211372790664,-85,25.9816463993744,26.053745949214605,-85,1350,700,193.22965985558278,18.534211840871265,circular
781,1100,700,188.69211372790664,-85,26.053745949214605,25.946643644493044,-85,1350,700,203.9138966730079,18.534211840871265,circular
800,1100,700,188.69211372790664,-85,26.053745949214605,26.077602459396946,-85,1350,700,196.0639216495618,18.534211840871265,circular
820,1100,700,188.69211372790664,-85,25.9816463993744,25.807460623826316,-85,1350,700,206.74815846698692,18.534211840871265,circular
