scanRate,Range,Velocity,scenario_hits
25.0,1000.0,-300.0,0.0
25.0,1000.0,-450.0,0.0
25.0,1000.0,-600.0,0.0
27.5,3000.0,-300.0,0.0
27.5,3000.0,-450.0,0.0
27.5,3000.0,-600.0,0.0
27.5,2500.0,-300.0,0.0
27.5,2500.0,-450.0,0.0
27.5,2500.0,-600.0,0.0
27.5,2000.0,-300.0,0.0
27.5,2000.0,-450.0,0.0
27.5,2000.0,-600.0,0.0
27.5,1500.0,-300.0,0.0
27.5,1500.0,-450.0,0.0
27.5,1500.0,-600.0,0.0
27.5,1000.0,-300.0,0.0
27.5,1000.0,-450.0,0.0
27.5,1000.0,-600.0,0.0
30.0,3000.0,-300.0,0.0
30.0,3000.0,-450.0,0.0
30.0,3000.0,-600.0,0.0
30.0,2500.0,-300.0,0.0
30.0,2500.0,-450.0,0.0
30.0,2500.0,-600.0,0.0
30.0,2000.0,-300.0,0.0
30.0,2000.0,-450.0,0.0
30.0,2000.0,-600.0,0.0
30.0,1500.0,-300.0,0.0
30.0,1500.0,-450.0,0.0
30.0,1500.0,-600.0,0.0
30.0,1000.0,-300.0,0.0
30.0,1000.0,-450.0,0.0
30.0,1000.0,-600.0,0.0
32.5,3000.0,-300.0,0.0
32.5,3000.0,-450.0,0.0
32.5,3000.0,-600.0,0.0
32.5,2500.0,-300.0,0.0
32.5,2500.0,-450.0,0.0
32.5,2500.0,-600.0,0.0
32.5,2000.0,-300.0,0.0
32.5,2000.0,-450.0,0.0
32.5,2000.0,-600.0,0.0
32.5,1500.0,-300.0,0.0
32.5,1500.0,-450.0,0.0
32.5,1500.0,-600.0,0.0
32.5,1000.0,-300.0,0.0
32.5,1000.0,-450.0,0.0
32.5,1000.0,-600.0,0.0
35.0,3000.0,-300.0,0.0
35.0,3000.0,-450.0,0.0
35.0,3000.0,-600.0,0.0
35.0,2500.0,-300.0,0.0
35.0,2500.0,-450.0,0.0
35.0,2500.0,-600.0,0.0
35.0,2000.0,-300.0,0.0
35.0,2000.0,-450.0,0.0
35.0,2000.0,-600.0,0.0
35.0,1500.0,-300.0,0.0
35.0,1500.0,-450.0,0.0
35.0,1500.0,-600.0,0.0
35.0,1000.0,-300.0,0.0
35.0,1000.0,-450.0,0.0
35.0,1000.0,-600.0,0.0
