Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM
8,1100,700,126.67975721154455,-85,-85,25.946643644493044,26.035130213615616,1350,700,190.93384757563896,18.181836200990983
28,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.074956048612798,1350,700,194.57057159545852,18.181836200990983
48,1100,700,126.67975721154455,-85,-85,26.077602459396946,26.067010357935978,1350,700,198.20729561527807,18.181836200990983
68,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.011117049096303,1350,700,201.84401963509762,18.181836200990983
88,1100,700,126.67975721154455,-85,-85,25.9816463993744,25.859665714847075,1350,700,205.48074365491718,18.181836200990983
107,1100,700,126.67975721154455,-85,-85,25.946643644493044,26.035130213615616,1350,700,190.93563147374576,18.181836200990983
127,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.074956048612798,1350,700,194.5723554935653,18.181836200990983
147,1100,700,126.67975721154455,-85,-85,26.077602459396946,26.067010357935978,1350,700,198.20907951338486,18.181836200990983
167,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.011117049096303,1350,700,201.84580353320442,18.181836200990983
187,1100,700,126.67975721154455,-85,-85,25.9816463993744,25.859665714847075,1350,700,205.48252755302397,18.181836200990983
206,1100,700,126.67975721154455,-85,-85,25.946643644493044,26.035130213615616,1350,700,190.93741537185255,18.181836200990983
226,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.074956048612798,1350,700,194.5741393916721,18.181836200990983
246,1100,700,126.67975721154455,-85,-85,26.077602459396946,26.067010357935978,1350,700,198.21086341149166,18.181836200990983
266,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.011117049096303,1350,700,201.8475874313112,18.181836200990983
286,1100,700,126.67975721154455,-85,-85,25.9816463993744,25.859665714847075,1350,700,205.48431145113076,18.181836200990983
305,1100,700,126.67975721154455,-85,-85,25.946643644493044,26.035130213615616,1350,700,190.93919926995935,18.181836200990983
325,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.074956048612798,1350,700,194.5759232897789,18.181836200990983
345,1100,700,126.67975721154455,-85,-85,26.077602459396946,26.067010357935978,1350,700,198.21264730959845,18.181836200990983
365,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.011117049096303,1350,700,201.849371329418,18.181836200990983
385,1100,700,126.67975721154455,-85,-85,25.9816463993744,25.859665714847075,1350,700,205.48609534923756,18.181836200990983
404,1100,700,126.67975721154455,-85,-85,25.946643644493044,26.035130213615616,1350,700,190.94098316806614,18.181836200990983
424,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.074956048612798,1350,700,194.5777071878857,18.181836200990983
444,1100,700,126.67975721154455,-85,-85,26.077602459396946,26.067010357935978,1350,700,198.21443120770525,18.181836200990983
464,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.011117049096303,1350,700,201.8511552275248,18.181836200990983
484,1100,700,126.67975721154455,-85,-85,25.9816463993744,25.859665714847075,1350,700,205.48787924734435,18.181836200990983
503,1100,700,126.67975721154455,-85,-85,25.946643644493044,26.035130213615616,1350,700,190.94276706617293,18.181836200990983
523,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.074956048612798,1350,700,194.5794910859925,18.181836200990983
543,1100,700,126.67975721154455,-85,-85,26.077602459396946,26.067010357935978,1350,700,198.21621510581204,18.181836200990983
563,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.011117049096303,1350,700,201.8529391256316,18.181836200990983
583,1100,700,126.67975721154455,-85,-85,25.9816463993744,25.859665714847075,1350,700,205.48966314545115,18.181836200990983
602,1100,700,126.67975721154455,-85,-85,25.946643644493044,26.035130213615616,1350,700,190.94455096427973,18.181836200990983
622,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.074956048612798,1350,700,194.58127498409928,18.181836200990983
642,1100,700,126.67975721154455,-85,-85,26.077602459396946,26.067010357935978,1350,700,198.21799900391883,18.181836200990983
662,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.011117049096303,1350,700,201.8547230237384,18.181836200990983
682,1100,700,126.67975721154455,-85,-85,25.9816463993744,25.859665714847075,1350,700,205.49144704355794,18.181836200990983
701,1100,700,126.67975721154455,-85,-85,25.946643644493044,26.035130213615616,1350,700,190.94633486238652,18.181836200990983
721,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.074956048612798,1350,700,194.58305888220607,18.181836200990983
741,1100,700,126.67975721154455,-85,-85,26.077602459396946,26.067010357935978,1350,700,198.21978290202563,18.181836200990983
761,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.011117049096303,1350,700,201.85650692184518,18.181836200990983
781,1100,700,126.67975721154455,-85,-85,25.9816463993744,25.859665714847075,1350,700,205.49323094166473,18.181836200990983
800,1100,700,126.67975721154455,-85,-85,25.946643644493044,26.035130213615616,1350,700,190.94811876049332,18.181836200990983
820,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.074956048612798,1350,700,194.58484278031287,18.181836200990983
840,1100,700,126.67975721154455,-85,-85,26.077602459396946,26.067010357935978,1350,700,198.22156680013242,18.181836200990983
860,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.011117049096303,1350,700,201.85829081995197,18.181836200990983
880,1100,700,126.67975721154455,-85,-85,25.9816463993744,25.859665714847075,1350,700,205.49501483977153,18.181836200990983
899,1100,700,126.67975721154455,-85,-85,25.946643644493044,26.035130213615616,1350,700,190.9499026586001,18.181836200990983
919,1100,700,126.67975721154455,-85,-85,26.053745949214605,26.074956048612798,1350,700,194.58662667841966,18.181836200990983
