Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM
26,1100,700,97.84988678267207,-85,-85,26.035130213615616,26.074956048612798,1350,700,185.11174100105734,8.515413072792835
69,1100,700,97.84988678267207,-85,-85,26.074956048612798,26.035130213615616,1350,700,191.27450313114937,8.515413072792835
111,1100,700,97.84988678267207,-85,-85,26.074956048612798,26.067010357935978,1350,700,188.92185218844858,8.515413072792835
153,1100,700,97.84988678267207,-85,-85,26.053745949214605,26.077602459396946,1350,700,186.56920124574782,8.515413072792835
195,1100,700,97.84988678267207,-85,-85,26.011117049096303,26.067010357935978,1350,700,184.21655030304703,8.515413072792835
238,1100,700,97.84988678267207,-85,-85,26.077602459396946,26.053745949214605,1350,700,190.37931243313906,8.515413072792835
280,1100,700,97.84988678267207,-85,-85,26.074956048612798,26.074956048612798,1350,700,188.02666149043827,8.515413072792835
322,1100,700,97.84988678267207,-85,-85,26.035130213615616,26.077602459396946,1350,700,185.6740105477375,8.515413072792835
365,1100,700,97.84988678267207,-85,-85,26.074956048612798,26.011117049096303,1350,700,191.83677267782954,8.515413072792835
407,1100,700,97.84988678267207,-85,-85,26.077602459396946,26.067010357935978,1350,700,189.48412173512875,8.515413072792835
449,1100,700,97.84988678267207,-85,-85,26.067010357935978,26.077602459396946,1350,700,187.131470792428,8.515413072792835
491,1100,700,97.84988678267207,-85,-85,26.011117049096303,26.074956048612798,1350,700,184.7788198497272,8.515413072792835
534,1100,700,97.84988678267207,-85,-85,26.077602459396946,26.035130213615616,1350,700,190.94158197981923,8.515413072792835
576,1100,700,97.84988678267207,-85,-85,26.074956048612798,26.074956048612798,1350,700,188.58893103711844,8.515413072792835
618,1100,700,97.84988678267207,-85,-85,26.053745949214605,26.077602459396946,1350,700,186.23628009441768,8.515413072792835
661,1100,700,97.84988678267207,-85,-85,26.067010357935978,26.011117049096303,1350,700,192.3990422245097,8.515413072792835
703,1100,700,97.84988678267207,-85,-85,26.077602459396946,26.053745949214605,1350,700,190.04639128180892,8.515413072792835
745,1100,700,97.84988678267207,-85,-85,26.067010357935978,26.074956048612798,1350,700,187.69374033910813,8.515413072792835
787,1100,700,97.84988678267207,-85,-85,26.035130213615616,26.074956048612798,1350,700,185.3410893964073,8.515413072792835
830,1100,700,97.84988678267207,-85,-85,26.074956048612798,26.035130213615616,1350,700,191.50385152649935,8.515413072792835
872,1100,700,97.84988678267207,-85,-85,26.077602459396946,26.067010357935978,1350,700,189.15120058379856,8.515413072792835
914,1100,700,97.84988678267207,-85,-85,26.053745949214605,26.077602459396946,1350,700,186.7985496410978,8.515413072792835
956,1100,700,97.84988678267207,-85,-85,26.011117049096303,26.067010357935978,1350,700,184.445898698397,8.515413072792835
