Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM
31,1100,700,6.714895614842509,26.035130213615616,-85,-85,26.074956048612798,1350,700,190.08756667791178,7.152100559393999
81,1100,700,6.714895614842509,26.067010357935978,-85,-85,26.077602459396946,1350,700,187.69259464761174,7.152100559393999
131,1100,700,6.714895614842509,26.077602459396946,-85,-85,26.053745949214605,1350,700,185.2976226173117,7.152100559393999
182,1100,700,6.714895614842509,26.035130213615616,-85,-85,26.074956048612798,1350,700,190.05475114640566,7.152100559393999
232,1100,700,6.714895614842509,26.067010357935978,-85,-85,26.077602459396946,1350,700,187.65977911610563,7.152100559393999
282,1100,700,6.714895614842509,26.077602459396946,-85,-85,26.053745949214605,1350,700,185.2648070858056,7.152100559393999
333,1100,700,6.714895614842509,26.035130213615616,-85,-85,26.074956048612798,1350,700,190.02193561489955,7.152100559393999
383,1100,700,6.714895614842509,26.067010357935978,-85,-85,26.077602459396946,1350,700,187.6269635845995,7.152100559393999
433,1100,700,6.714895614842509,26.077602459396946,-85,-85,26.053745949214605,1350,700,185.23199155429947,7.152100559393999
484,1100,700,6.714895614842509,26.035130213615616,-85,-85,26.074956048612798,1350,700,189.98912008339343,7.152100559393999
534,1100,700,6.714895614842509,26.067010357935978,-85,-85,26.074956048612798,1350,700,187.5941480530934,7.152100559393999
584,1100,700,6.714895614842509,26.077602459396946,-85,-85,26.053745949214605,1350,700,185.19917602279335,7.152100559393999
635,1100,700,6.714895614842509,26.035130213615616,-85,-85,26.074956048612798,1350,700,189.9563045518873,7.152100559393999
685,1100,700,6.714895614842509,26.067010357935978,-85,-85,26.074956048612798,1350,700,187.56133252158727,7.152100559393999
735,1100,700,6.714895614842509,26.077602459396946,-85,-85,26.053745949214605,1350,700,185.16636049128724,7.152100559393999
786,1100,700,6.714895614842509,26.035130213615616,-85,-85,26.074956048612798,1350,700,189.9234890203812,7.152100559393999
836,1100,700,6.714895614842509,26.067010357935978,-85,-85,26.074956048612798,1350,700,187.52851699008116,7.152100559393999
886,1100,700,6.714895614842509,26.077602459396946,-85,-85,26.053745949214605,1350,700,185.13354495978112,7.152100559393999
937,1100,700,6.714895614842509,26.035130213615616,-85,-85,26.074956048612798,1350,700,189.89067348887508,7.152100559393999
987,1100,700,6.714895614842509,26.067010357935978,-85,-85,26.074956048612798,1350,700,187.49570145857504,7.152100559393999
